league_stats_id,yearid,TG,G,PA,HR,R,RBI,SB,BB_percent,K_percent,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC_plus,BsR,Off,Def,WAR
1,1998,4864,62317,188284,5064,23297,22081,3284,8.70%,16.90%,0.154,0.3,0.266,0.335,0.42,0.331,,96,0,-909.9,539.5,570.9
2,2000,4858,62083,190261,5693,24971,23735,2924,9.60%,16.50%,0.167,0.3,0.27,0.345,0.437,0.341,,96,0,-1012.8,538.6,570.5
3,1999,4856,61966,189692,5528,24691,23461,3421,9.40%,16.40%,0.163,0.302,0.271,0.345,0.434,0.341,,96,0,-948.1,547.7,570.4
4,2018,4862,71590,185139,5585,21630,20606,2474,8.50%,22.30%,0.161,0.296,0.248,0.318,0.409,0.315,,97,-1.6,-783.9,332.1,570.2
5,2013,4862,69267,184872,4661,20255,19271,2693,7.90%,19.90%,0.143,0.297,0.253,0.318,0.396,0.314,,96,-1,-747.2,268.9,570.2
6,2007,4862,70143,188623,4957,23322,22257,2918,8.50%,17.10%,0.155,0.303,0.268,0.336,0.423,0.331,,97,0.9,-846.1,323.7,570.2
7,2005,4862,68432,186294,5017,22326,21248,2565,8.20%,16.40%,0.154,0.295,0.264,0.33,0.419,0.326,,96,0.1,-834.6,349.3,570.2
8,2022,4860,70911,182052,5215,20817,19888,2486,8.20%,22.40%,0.152,0.29,0.243,0.312,0.395,0.31,,100,-2,14.6,-596.6,570
9,2009,4860,69035,187079,5042,22419,21364,2970,8.90%,18.00%,0.155,0.299,0.262,0.333,0.418,0.329,,96,1.9,-871.1,386.8,570
10,2023,4860,71144,184104,5868,22432,21512,3503,8.60%,22.70%,0.166,0.297,0.248,0.32,0.414,0.318,,100,5.5,23.6,-597.1,570
11,2012,4860,69521,184179,4934,21017,19998,3229,8.00%,19.80%,0.151,0.297,0.255,0.319,0.405,0.315,,96,1,-814.9,370.4,570
12,2014,4860,69565,183928,4186,19761,18745,2764,7.60%,20.40%,0.135,0.299,0.251,0.314,0.386,0.31,,96,0.4,-759.7,277.7,570
13,2010,4860,68923,185553,4613,21308,20288,2959,8.50%,18.50%,0.145,0.297,0.257,0.325,0.403,0.321,,96,-0.7,-845.2,299.5,570
14,2017,4860,70745,185295,6105,22582,21558,2527,8.50%,21.60%,0.171,0.3,0.255,0.324,0.426,0.321,,96,-6.4,-858.9,338.8,570
15,2003,4860,68519,187449,5207,22978,21886,2573,8.50%,16.40%,0.158,0.294,0.264,0.333,0.422,0.328,,96,-0.2,-895,386.9,570
16,2001,4858,61371,186976,5458,23199,22088,3103,8.50%,17.30%,0.163,0.296,0.264,0.332,0.427,0.327,,96,0.4,-935.1,469.1,570
17,2024,4858,71274,182449,5453,21343,20379,3617,8.20%,22.60%,0.156,0.291,0.243,0.312,0.399,0.31,,100,1.8,19.8,-581.6,569.8
18,2021,4858,71621,181817,5944,22010,20993,2213,8.70%,23.20%,0.167,0.292,0.244,0.317,0.411,0.314,,97,-2.8,-768.3,286.4,569.8
19,2019,4858,71684,186516,6776,23467,22471,2280,8.50%,23.00%,0.183,0.298,0.252,0.323,0.435,0.32,,97,-5.3,-823.1,341.7,569.8
20,2011,4858,68729,185245,4552,20808,19804,3279,8.10%,18.60%,0.144,0.295,0.255,0.321,0.399,0.316,,96,1.1,-759.8,278.6,569.8
21,2015,4858,70535,183627,4909,20647,19650,2505,7.70%,20.40%,0.15,0.299,0.254,0.317,0.405,0.313,,97,-0.7,-751.2,282.7,569.8
22,2006,4858,69333,188071,5386,23599,22491,2767,8.40%,16.80%,0.163,0.301,0.269,0.337,0.432,0.332,,96,-0.3,-935.6,437.3,569.8
23,2008,4856,69564,187631,4878,22585,21541,2799,8.70%,17.50%,0.152,0.3,0.264,0.333,0.416,0.328,,96,0,-864,337.9,569.5
24,2004,4856,68880,188539,5451,23376,22248,2589,8.60%,16.90%,0.162,0.297,0.266,0.335,0.428,0.33,,96,0.3,-928.9,385.2,569.5
25,2016,4856,70449,184577,5610,21744,20746,2537,8.20%,21.10%,0.162,0.3,0.255,0.322,0.417,0.318,,97,-5.2,-775.6,286.2,569.5
26,2002,4852,68340,186615,5059,22408,21332,2750,8.70%,16.80%,0.155,0.293,0.261,0.331,0.417,0.326,,96,-1.8,-861.5,358.1,569.1
27,1993,4538,55035,174564,4030,20864,19596,3263,8.70%,15.10%,0.138,0.294,0.265,0.332,0.403,0.327,,97,0,-743.2,208.7,532.3
28,1996,4534,55959,177261,4962,22831,21570,3240,9.10%,16.50%,0.157,0.301,0.27,0.34,0.427,0.335,,97,0.2,-780.1,301.2,531.8
29,1997,4532,58107,175541,4640,21604,20468,3308,8.90%,17.10%,0.152,0.301,0.267,0.337,0.419,0.332,,96,0.4,-798.3,338.3,531.7
30,1983,4218,50955,160615,3301,18170,17067,3325,8.40%,13.50%,0.128,0.285,0.261,0.325,0.389,0.319,,97,0.4,-634.5,151.9,494.8
31,1992,4212,50937,160545,3038,17341,16284,3264,8.50%,14.70%,0.122,0.285,0.256,0.322,0.377,0.317,,97,0,-532.6,111.3,494.5
32,1982,4214,50473,161104,3379,18110,17019,3176,8.30%,13.20%,0.128,0.284,0.261,0.324,0.389,0.318,,97,0,-591.2,103.1,494.4
33,1990,4210,51345,160316,3317,17919,16804,3290,8.60%,14.90%,0.128,0.287,0.258,0.325,0.385,0.319,,97,0.4,-637.5,71.2,494.3
34,1989,4212,50628,160033,3083,17405,16229,3115,8.50%,14.80%,0.121,0.283,0.254,0.32,0.375,0.313,,97,-0.2,-561.5,63.6,494.3
35,1980,4210,51112,161210,3087,18053,16928,3294,8.20%,12.50%,0.123,0.287,0.265,0.326,0.388,0.32,,97,0.4,-557.8,70.8,494.1
36,1991,4208,51796,160746,3383,18127,17048,3120,8.70%,15.20%,0.129,0.285,0.256,0.323,0.385,0.318,,97,0,-519.7,89.9,494
37,1984,4210,51802,160566,3258,17921,16778,3032,8.30%,14.00%,0.125,0.286,0.26,0.323,0.385,0.317,,97,0.4,-596.8,129.4,494
38,1987,4210,51173,161922,4458,19883,18713,3585,8.90%,15.50%,0.152,0.289,0.263,0.331,0.415,0.326,,97,0,-713.6,173.4,493.8
39,1978,4204,50274,159192,2956,17251,16098,3004,8.50%,12.60%,0.121,0.28,0.258,0.323,0.379,0.318,,97,0.4,-604.5,71.5,493.7
40,1986,4206,51110,160858,3813,18545,17396,3312,8.80%,15.40%,0.137,0.286,0.258,0.326,0.395,0.32,,97,0,-640.3,146.2,493.5
41,1985,4206,51212,160320,3602,18216,17129,3097,8.60%,14.00%,0.134,0.281,0.257,0.323,0.391,0.317,,97,0,-603.2,121.6,493.4
42,1977,4206,50773,161547,3644,18803,17595,3016,8.50%,13.40%,0.137,0.287,0.264,0.329,0.401,0.324,,97,-0.6,-604.4,89.9,493.4
43,1988,4200,49903,159380,3180,17380,16217,3301,8.10%,14.70%,0.123,0.282,0.254,0.318,0.378,0.312,,97,0,-600.7,123.7,492.9
44,1979,4196,50044,160378,3433,18713,17558,2982,8.50%,12.50%,0.132,0.286,0.265,0.33,0.397,0.324,,97,0.2,-637.8,109,492.4
45,1995,4034,49777,156703,4081,19554,18436,2932,9.10%,16.20%,0.15,0.298,0.267,0.338,0.417,0.333,,96,0.2,-716.1,228.4,473.2
46,1974,3890,47228,148855,2649,16046,14858,2489,8.70%,13.10%,0.112,0.282,0.257,0.324,0.369,0.318,,97,1,-535.6,81,456.6
47,1969,3892,49929,148181,3119,15850,14662,1850,9.10%,15.20%,0.121,0.276,0.248,0.32,0.369,0.313,,93,0,-1244,837,456.4
48,1973,3886,46316,148777,3102,16376,15254,2034,8.80%,13.70%,0.122,0.281,0.257,0.325,0.379,0.319,,96,0,-618,132,456.1
49,1970,3888,50415,149312,3429,16880,15762,1908,9.20%,15.00%,0.131,0.281,0.254,0.326,0.385,0.319,,93,0,-1288.1,840.8,456.1
50,1971,3876,48809,146690,2863,15073,14077,1765,8.50%,14.30%,0.116,0.276,0.249,0.317,0.365,0.31,,93,0,-1150.2,694.6,455.4
51,1976,3878,46634,147598,2235,15492,14363,3054,8.40%,12.70%,0.106,0.281,0.255,0.32,0.361,0.315,,97,0.4,-567,84.8,455.1
52,1975,3868,46887,148621,2698,16295,15153,2529,9.00%,13.00%,0.116,0.282,0.258,0.327,0.374,0.321,,96,0.2,-611.1,117.3,454.1
53,1914,3758,40881,138909,710,14530,12223,4573,8.00%,10.60%,0.083,0.284,0.254,0.321,0.337,0.321,,93,0,-1028.7,483.9,440.4
54,1915,3732,40218,138280,635,14213,11981,4106,8.00%,10.10%,0.082,0.279,0.25,0.318,0.332,0.318,,95,0,-824.9,400.6,437.2
55,1972,3718,46786,139947,2534,13706,12750,1807,8.40%,14.80%,0.11,0.272,0.244,0.311,0.354,0.304,,93,0,-1054.8,646.3,436.8
56,1927,3554,38917,134860,1417,17186,15664,2239,7.90%,7.20%,0.11,0.301,0.282,0.344,0.392,0.344,,94,0,-1044.7,515.5,416.6
57,1925,3503,38787,134803,1736,18333,16656,2370,8.10%,6.90%,0.119,0.306,0.288,0.35,0.407,0.35,,94,0,-1149.2,628.9,411
58,1924,3431,37381,131056,1236,16833,15005,2350,7.70%,7.00%,0.105,0.303,0.283,0.343,0.388,0.343,,95,0,-930.2,374,402.2
59,1926,3422,38029,130091,1330,16527,14937,2323,8.30%,7.10%,0.11,0.297,0.28,0.346,0.39,0.346,,94,0,-998.4,465.7,400.9
60,1929,3392,37138,130434,1840,18080,16609,2150,8.40%,7.20%,0.126,0.303,0.289,0.354,0.416,0.354,,94,0,-1221.8,583.4,397.1
61,1923,3297,36077,126968,1356,16560,14799,2229,7.80%,7.30%,0.108,0.301,0.284,0.346,0.392,0.346,,95,0,-962.6,462.5,386.3
62,1968,3250,40822,120816,1995,11109,10309,1515,7.60%,15.80%,0.104,0.269,0.237,0.299,0.34,0.291,,93,0,-882.8,567.8,381.5
63,1964,3252,41205,122980,2762,13124,12233,1176,7.80%,15.60%,0.127,0.279,0.25,0.313,0.378,0.307,,93,0,-1041.6,802.9,380.6
64,1962,3242,41457,124540,3001,14461,13546,1348,8.80%,14.10%,0.136,0.281,0.258,0.326,0.393,0.322,,93,0,-1056.1,860.6,379.9
65,1965,3246,42219,122749,2688,12946,12012,1449,8.20%,15.70%,0.126,0.274,0.246,0.311,0.372,0.304,,92,0,-1050.7,783.4,379.8
66,1967,3240,41712,121839,2299,12210,11265,1373,7.90%,15.90%,0.115,0.274,0.242,0.306,0.357,0.299,,93,0,-948.6,664,379.5
67,1928,3235,35778,123910,1440,15656,14280,1901,7.80%,7.40%,0.114,0.297,0.281,0.342,0.395,0.342,,94,0,-1010.6,473.6,379.2
68,1963,3238,40602,122336,2704,12780,11904,1236,7.80%,15.30%,0.126,0.273,0.246,0.309,0.372,0.304,,93,0,-974.8,755.6,378.8
69,1966,3230,41587,121677,2743,12900,11998,1455,7.70%,15.50%,0.128,0.276,0.249,0.31,0.376,0.303,,93,0,-959.3,736.2,377.6
70,1890,3212,29457,126057,760,19330,14703,6854,9.30%,7.70%,0.091,0.283,0.26,0.337,0.351,0.337,,96,0,-715.5,216.2,377.6
71,1994,3200,38374,124483,3306,15752,14858,2258,8.90%,15.90%,0.155,0.3,0.27,0.339,0.424,0.333,,97,0,-557,211.5,375.3
72,1921,3129,33537,120104,1130,15296,13522,2299,7.20%,7.30%,0.108,0.309,0.286,0.344,0.394,0.344,,94,0,-923.6,358.7,366.7
73,1884,3075,27830,114727,690,16742,4897,,4.30%,12.60%,0.084,0.276,0.243,0.279,0.327,0.279,,97,0,-548.8,10,361.3
74,1932,3049,33568,117107,1468,14790,13510,1390,7.70%,8.20%,0.116,0.292,0.275,0.334,0.391,0.334,,94,0,-959.5,489,358.5
75,1930,3043,34009,118075,1786,16711,15457,1513,7.90%,8.20%,0.134,0.312,0.292,0.352,0.426,0.352,,94,0,-1011.3,543.2,357.1
76,1922,3045,32960,117066,1299,15198,13525,2037,7.60%,7.20%,0.112,0.305,0.286,0.347,0.399,0.347,,94,0,-963.5,506.7,356.8
77,1943,2993,32960,114126,1019,12350,11151,1336,8.70%,9.00%,0.09,0.273,0.256,0.324,0.346,0.324,,94,0,-764.5,306.7,352.4
78,1920,2982,31500,113310,721,13085,11274,2220,7.40%,7.70%,0.092,0.297,0.273,0.333,0.365,0.333,,94,0,-765.2,278.7,350
79,1947,2980,34526,113706,1733,13416,12317,1129,9.50%,9.60%,0.114,0.277,0.262,0.337,0.376,0.337,,93,0,-980.9,544.8,349.7
80,1946,2956,34587,112543,1361,12312,11259,1167,9.20%,10.20%,0.102,0.277,0.257,0.329,0.359,0.329,,93,0,-880.9,423.5,347.6
81,1937,2968,32688,114074,1650,14843,13631,1338,8.60%,9.40%,0.122,0.296,0.277,0.343,0.398,0.343,,93,0,-1046.2,486,347.3
82,1938,2936,32291,112995,1681,14575,13494,1240,9.00%,8.70%,0.12,0.29,0.273,0.342,0.393,0.342,,94,0,-1007.8,512,343.5
83,1944,2902,32749,111051,1139,12381,11335,1121,8.20%,8.60%,0.096,0.278,0.262,0.326,0.358,0.326,,94,0,-835.1,425.3,340.9
84,1948,2898,34140,111437,1682,13417,12334,1094,9.90%,9.40%,0.116,0.28,0.264,0.34,0.379,0.34,,94,0,-876,446.9,339.9
85,1940,2896,32656,111155,1740,13750,12722,1214,8.70%,9.40%,0.121,0.284,0.267,0.334,0.388,0.334,,94,0,-951.3,605,339.6
86,1942,2883,32138,109641,1206,12018,11031,1193,8.90%,8.90%,0.095,0.27,0.253,0.322,0.348,0.322,,93,0,-843.7,546.8,338
87,1941,2868,32199,109976,1460,12955,11964,1124,9.10%,9.10%,0.11,0.28,0.261,0.331,0.372,0.331,,93,0,-945.8,584.9,336.4
88,1945,2858,32281,109525,1114,12244,11173,1152,8.60%,8.50%,0.094,0.278,0.261,0.329,0.355,0.329,,94,0,-783.9,324.7,336
89,1961,2860,36209,109568,2730,12942,12062,1046,9.00%,13.60%,0.141,0.279,0.258,0.328,0.399,0.324,,92,0,-1044.4,839.9,335.2
90,1939,2841,32123,109702,1624,13815,12709,1208,8.80%,8.90%,0.119,0.293,0.274,0.342,0.393,0.342,,93,0,-976.5,631.2,333.3
91,1935,2830,31321,110175,1532,14252,13173,1169,8.20%,8.30%,0.12,0.295,0.28,0.343,0.4,0.343,,94,0,-916.6,506.5,331.6
92,1981,2788,34019,105892,1781,11147,10451,2021,8.40%,12.50%,0.113,0.279,0.256,0.32,0.369,0.314,,97,0.7,-333.2,24.4,327.3
93,1936,2783,31091,109343,1549,14635,13539,1134,8.60%,8.40%,0.12,0.301,0.284,0.35,0.404,0.35,,93,0,-1042.9,542.7,325.7
94,1934,2744,30644,106141,1429,13443,12520,1071,8.20%,8.80%,0.115,0.297,0.278,0.341,0.393,0.341,,93,0,-957.7,496.1,321.4
95,1933,2734,30397,104902,1177,12448,11516,1061,7.60%,7.90%,0.107,0.286,0.27,0.33,0.377,0.33,,94,0,-859.9,448.6,320.7
96,1931,2678,29834,103726,1134,12930,11948,1225,8.00%,8.20%,0.112,0.296,0.277,0.339,0.389,0.339,,94,0,-889.5,497.5,313.9
97,1904,2496,23562,91064,331,9302,7590,2780,6.10%,,0.075,,0.247,0.301,0.321,0.301,,95,0,-524.7,152.4,292.7
98,1910,2498,25816,92773,361,9575,7858,3265,8.00%,9.50%,0.076,0.283,0.249,0.318,0.326,0.318,,95,0,-546.9,255.9,292.6
99,1917,2494,27069,92623,335,8950,7557,2413,7.50%,9.40%,0.075,0.275,0.249,0.311,0.324,0.311,,94,0,-549.8,230.4,292.2
100,1916,2494,27710,92468,383,8889,7518,2753,7.70%,10.30%,0.078,0.276,0.248,0.312,0.326,0.312,,94,0,-578.8,286.7,292
101,1908,2488,25137,90541,267,8417,6822,2733,6.50%,,0.066,,0.239,0.297,0.305,0.297,,94,0,-518.8,202.9,291.9
102,1953,2480,30369,95411,2076,11426,10714,668,9.10%,10.70%,0.133,0.28,0.264,0.336,0.397,0.336,,93,0,-854.8,627,290.9
103,1949,2480,29453,96190,1704,11425,10642,730,10.40%,9.30%,0.121,0.278,0.263,0.344,0.384,0.344,,93,0,-838.6,558,290.8
104,1909,2481,25278,90997,259,8794,7125,3052,7.10%,,0.067,,0.244,0.306,0.311,0.306,,94,0,-561.9,293.7,290.6
105,1951,2478,29810,95998,1863,11268,10524,866,9.60%,9.70%,0.125,0.275,0.261,0.336,0.386,0.336,,94,0,-757.5,477.2,290.6
106,1952,2478,29597,94808,1701,10349,9671,771,9.30%,10.90%,0.117,0.271,0.253,0.327,0.37,0.327,,92,0,-871.1,567.4,290.5
107,1950,2476,29310,96463,2073,12013,11269,650,10.30%,9.90%,0.136,0.28,0.266,0.346,0.402,0.346,,93,0,-905.2,615.1,290.5
108,1905,2474,23753,91355,338,9636,7936,2933,6.80%,,0.075,,0.248,0.307,0.323,0.307,,94,0,-604,228.6,290.2
109,1956,2478,31418,95231,2294,11031,10330,719,9.40%,12.10%,0.139,0.274,0.258,0.331,0.397,0.326,,94,0,-754.6,653.4,290.2
110,1911,2474,26079,93827,514,11161,9318,3403,8.40%,10.20%,0.091,0.288,0.266,0.336,0.357,0.336,,94,0,-727.8,388.3,290.1
111,1959,2476,31642,94717,2250,10853,10177,853,8.60%,13.30%,0.135,0.277,0.257,0.324,0.392,0.319,,93,0,-820.1,642.4,290
112,1954,2472,30382,95536,1937,10827,10168,695,9.50%,10.70%,0.129,0.275,0.261,0.333,0.39,0.333,,93,0,-821.7,661.5,289.4
113,1955,2468,31041,95025,2224,11068,10381,694,9.50%,11.40%,0.135,0.272,0.259,0.332,0.394,0.327,,94,0,-746.2,585.2,289.2
114,1960,2472,32103,94771,2128,10664,9968,923,8.80%,13.50%,0.133,0.277,0.255,0.324,0.388,0.319,,93,0,-788.5,658.8,289.2
115,1958,2470,31718,94143,2240,10578,9956,741,8.60%,13.00%,0.136,0.277,0.258,0.325,0.394,0.32,,93,0,-770.8,596.7,289.1
116,1913,2466,27032,91726,470,9960,8349,3250,7.90%,10.10%,0.086,0.288,0.259,0.325,0.345,0.325,,94,0,-683.1,354.9,289.1
117,1907,2466,24275,89725,244,8692,7075,2777,6.80%,,0.064,,0.245,0.305,0.309,0.305,,94,0,-534,210.2,289
118,1912,2462,25999,93204,442,11165,9345,3385,8.20%,9.90%,0.09,0.302,0.269,0.337,0.359,0.337,,95,0,-646.6,335.5,288.7
119,1957,2470,31513,95386,2202,10636,10023,767,8.60%,12.50%,0.134,0.275,0.258,0.324,0.391,0.319,,93,0,-787.3,691.1,288.6
120,1906,2454,23854,89656,261,8873,7256,2996,6.90%,,0.068,,0.247,0.306,0.314,0.306,,94,0,-548.4,198.5,287.6
121,1919,2236,23701,83902,447,8668,7424,2077,7.10%,8.20%,0.085,0.285,0.263,0.322,0.348,0.322,,94,0,-547.7,256.3,261.9
122,1903,2228,21128,83556,335,9888,8144,2735,6.40%,,0.084,,0.262,0.317,0.346,0.317,,94,0,-630.8,241.4,261.3
123,1902,2226,20914,84136,356,9879,8245,2678,6.50%,,0.077,,0.267,0.322,0.344,0.322,,94,0,-610.6,163.5,261
124,1891,2220,20582,86833,586,12667,9994,4172,9.30%,8.80%,0.089,0.276,0.254,0.332,0.343,0.332,,95,0,-660.9,105.8,260.8
125,1901,2218,20868,85072,455,11073,9136,2851,6.40%,,0.088,,0.272,0.327,0.36,0.327,,95,0,-612.3,218.6,260.3
126,1888,2180,19744,80990,521,10628,8036,5260,5.80%,10.00%,0.081,0.26,0.239,0.291,0.32,0.291,,95,0,-559.9,38.9,255.8
127,1889,2176,19980,84553,667,12986,10229,4816,8.70%,9.10%,0.094,0.285,0.263,0.333,0.357,0.333,,95,0,-646.7,136.6,255.5
128,1887,2112,19156,81533,606,13414,10393,6345,7.40%,7.30%,0.103,0.283,0.271,0.332,0.374,0.332,,97,0,-442.1,86.3,248.3
129,1886,2098,19018,78790,413,11512,8239,3243,7.00%,11.70%,0.085,0.281,0.246,0.303,0.332,0.303,,97,0,-370.4,56.8,246.6
130,1918,2032,21134,75971,235,7382,6199,1989,7.60%,7.80%,0.071,0.276,0.254,0.317,0.325,0.317,,94,0,-432.2,160.4,238
131,1898,1840,17284,69964,299,9129,7630,2069,7.30%,,0.076,,0.271,0.334,0.347,0.334,,95,0,-447.9,123,215.9
132,1899,1838,17391,69871,350,9647,7980,2666,7.10%,,0.084,,0.282,0.343,0.366,0.343,,95,0,-521.4,176.2,215.8
133,1892,1836,16963,70615,417,9388,7360,3201,8.70%,8.40%,0.083,0.265,0.245,0.317,0.327,0.317,,95,0,-470.4,94.4,215.5
134,2020,1796,26721,66506,2304,8344,7978,885,9.20%,23.40%,0.173,0.292,0.245,0.322,0.418,0.32,,100,-6.9,-7.2,-214.6,210.6
135,1885,1780,16120,66585,323,9292,6488,,5.30%,10.10%,0.081,0.266,0.244,0.288,0.325,0.288,,98,0,-220.5,9.2,208.9
136,1897,1610,15226,63130,367,9520,7998,2696,7.50%,,0.095,,0.292,0.354,0.386,0.354,,96,0,-405,126.3,189
137,1895,1588,14983,63338,484,10482,8779,2888,8.10%,5.70%,0.103,0.31,0.296,0.361,0.4,0.361,,96,0,-381.5,76.4,186.6
138,1894,1584,14887,63552,627,11678,9887,3113,9.10%,5.20%,0.126,0.32,0.309,0.379,0.435,0.379,,96,0,-523.1,155.6,186.1
139,1896,1584,14964,62224,404,9555,8041,3057,7.80%,5.70%,0.097,0.305,0.29,0.354,0.387,0.354,,96,0,-423.7,107.5,186.1
140,1883,1570,14224,59998,238,9030,4522,,3.90%,9.50%,0.088,0.288,0.257,0.286,0.345,0.286,,98,0,-195.8,-11.8,184.5
141,1893,1570,14660,63680,460,10315,8556,2752,9.60%,5.20%,0.1,0.291,0.28,0.356,0.379,0.356,,96,0,-412.5,78.4,184.4
142,1882,1142,10303,43230,178,6095,3326,,3.70%,8.40%,0.082,0.271,0.248,0.276,0.33,0.276,,98,0,-106.4,-4.9,134.2
143,1900,1136,10872,43485,254,5932,4924,1686,7.00%,,0.087,,0.279,0.339,0.366,0.339,,95,0,-323.6,116.7,133.3
144,1875,690,6249,27082,40,4234,2710,629,0.90%,2.50%,0.056,0.259,0.254,0.261,0.31,0.261,,99,0,-42.8,5.9,81.3
145,1880,680,6157,25041,62,3191,2222,,3.00%,8.00%,0.075,0.264,0.245,0.267,0.32,0.267,,98,0,-74.2,-8.5,79.8
146,1881,672,6084,25410,76,3426,2488,,4.10%,7.00%,0.078,0.278,0.26,0.29,0.338,0.29,,96,0,-139.4,-7.2,78.9
147,1879,642,5795,24663,58,3409,2357,,2.10%,7.50%,0.073,0.275,0.255,0.271,0.329,0.271,,99,0,-31.9,12.3,75.4
148,1876,520,4696,20457,40,3066,1984,,1.60%,2.90%,0.055,0.272,0.265,0.277,0.321,0.277,,98,0,-63.6,6.6,61.3
149,1874,464,4199,19340,40,3470,2249,226,1.20%,1.80%,0.06,0.277,0.274,0.282,0.333,0.282,,97,0,-115.9,12,54.7
150,1873,398,3603,17296,46,3580,2339,175,1.90%,1.40%,0.065,0.292,0.29,0.303,0.355,0.303,,97,0,-116.1,22.9,47.1
151,1872,366,3307,15926,35,3390,2103,254,1.60%,1.60%,0.061,0.289,0.286,0.297,0.347,0.297,,97,0,-119.3,-22.5,43.3
152,1878,368,3319,14008,23,1904,1331,,2.60%,7.70%,0.06,0.28,0.259,0.279,0.319,0.279,,99,0,-25.6,7.2,43.2
153,1877,360,3247,14012,24,2040,1410,,2.50%,5.20%,0.067,0.285,0.271,0.289,0.338,0.289,,99,0,-30.2,0.5,42.3
154,1871,254,2296,11215,47,2659,1783,441,3.50%,1.60%,0.097,0.288,0.287,0.312,0.384,0.312,,98,0,-41.4,0.6,30.1
